1 - min(mdcv$evaluation_log$val_merror),booster,max_depth,eta,subsample,colsample_bytree,min_child_weight
0.864,xgbtree,5,0.17899206944741308,0.7167522814357653,0.8935017073526978,2
0.86,xgbtree,3,0.05375187637750059,0.9998959723394364,0.7053299532271922,0
0.86,xgbtree,3,0.19923982484266162,0.7154606644529848,0.7902471068315208,6
0.856,xgbtree,10,0.2900533703691326,0.8296472114976495,0.6141958485357463,3
0.856,xgbtree,3,0.1722559538600035,0.9577131434343755,0.7149381552822888,7
0.856,xgbtree,8,0.16991789393825457,0.9933059976203367,0.7173081534914673,2
0.856,xgbtree,10,0.21832370178308338,0.7154618500033393,0.7117361758835614,3
0.856,xgbtree,3,0.04356671692570671,0.8595855376217514,0.6882813105359673,5
0.856,xgbtree,10,0.21342877908842636,0.8282134938053787,0.6536548178642988,1
0.856,xgbtree,10,0.2917362768831663,0.9105674292659387,0.6324895985424518,4
0.856,xgbtree,4,0.034217870365828275,0.7035773730836808,0.7421131750568748,3
0.852,xgbtree,5,0.12631937066093088,0.7955810671905055,0.6956837780773639,3
0.852,xgbtree,6,0.13407007102621718,0.9496078416705132,0.7411863877438009,7
0.852,xgbtree,9,0.11722815686371177,0.8556669138604776,0.723120829835534,0
0.852,xgbtree,6,0.10377614805940537,0.714878710382618,0.9943042894825339,1
0.852,xgbtree,3,0.08544769824249669,0.7396616648882627,0.8694163231179117,4
0.852,xgbtree,4,0.26999015354085715,0.7937499909894541,0.9507750821299851,2
0.852,xgbtree,8,0.05793395372573286,0.744442010531202,0.9196428790688514,1
0.852,xgbtree,10,0.21744606610853223,0.7922469717217608,0.7288011713884771,1
0.852,xgbtree,9,0.23365081847878172,0.8889180195750669,0.6750575522892177,3
0.852,xgbtree,9,0.20269255744060502,0.994688413455151,0.6867788106203079,8
0.852,xgbtree,9,0.13943603542866184,0.7440962729509919,0.7884412636980415,1
0.852,xgbtree,4,0.13120870579965413,0.7258003619965165,0.7897810746915639,3
0.852,xgbtree,7,0.1495387631538324,0.7354582988657057,0.7147594004869461,0
0.852,xgbtree,5,0.0967583694984205,0.941367680253461,0.6953414754010737,2
0.852,xgbtree,4,0.2301470525143668,0.7564532048534601,0.89696822213009,0
